65ae3bbe8ba3c82532bb1292,,,,,,,Steam,,"Windows,OS X,Linux",Company:Matthias Linda,"JRPG,RPG,",One-time game purchase,Singleplayer,Company:Deck13 Interactive,2022-12-08;2022-12-08;2022-12-08,2022-12-08,,1,1,chained echoes,1229240,Cracked,GOLDBERG,STEAM,2022-12-07,2022-12-08,1
_id,Battlenet DRM,EA Desktop DRM,EA Play,EA Play Pro,EA Play Steam,Epic Games Store DRM,Steam DRM,Ubisoft Plus,Available on,Developers,Genres,Monetization,Modes,Publishers,Released,Released Windows,Removed DRM,Released__precision,Released Windows__precision,name,appid,crack_status,crack_team,drm,release_date,crack_date,dates_dif
65ae3bbe8ba3c82532bb1292,,,,,,,Steam,,"Windows,OS X,Linux",Company:Matthias Linda,"JRPG,RPG,",One-time game purchase,Singleplayer,Company:Deck13 Interactive,2022-12-08;2022-12-08;2022-12-08,2022-12-08,,1,1,chained echoes,1229240,Cracked,GOLDBERG,STEAM,2022-12-07,2022-12-08,1
_id,Battlenet DRM,EA Desktop DRM,EA Play,EA Play Pro,EA Play Steam,Epic Games Store DRM,Steam DRM,Ubisoft Plus,Available on,Developers,Genres,Monetization,Modes,Publishers,Released,Released Windows,Removed DRM,Released__precision,Released Windows__precision,name,appid,crack_status,crack_team,drm,release_date,crack_date,dates_dif
65b122334bf4b31eb7b4e869,,,,,,,Steam,,"Windows,OS X",Company:Tactical Adventures,"RPG,","One-time game purchase,DLC,Subscription gaming service",Singleplayer,,2021-05-27;2021-11-04,2021-05-27,,1,1,solasta crown of the magister,1096530,Cracked,CHRONOS,STEAM,2020-10-20,2020-10-22,2
_id,Battlenet DRM,EA Desktop DRM,EA Play,EA Play Pro,EA Play Steam,Epic Games Store DRM,Steam DRM,Ubisoft Plus,Available on,Developers,Genres,Monetization,Modes,Publishers,Released,Released Windows,Removed DRM,Released__precision,Released Windows__precision,name,appid,crack_status,crack_team,drm,release_date,crack_date,dates_dif
65ae3b9b8ba3c82532bb1290,,,,,,,Steam,,Windows,Company:Realmforge Studios,"Adventure,",One-time game purchase,Singleplayer,Company:Kalypso Media,2009-02-27,2009-02-27,,1,1,ceville,23460,Cracked,GENESIS,STEAM,2009-02-19,2009-02-17,-2
_id,Battlenet DRM,EA Desktop DRM,EA Play,EA Play Pro,EA Play Steam,Epic Games Store DRM,Steam DRM,Ubisoft Plus,Available on,Developers,Genres,Monetization,Modes,Publishers,Released,Released Windows,Removed DRM,Released__precision,Released Windows__precision,name,appid,crack_status,crack_team,drm,release_date,crack_date,dates_dif
65ae3b9b8ba3c82532bb1290,,,,,,,Steam,,Windows,Company:Realmforge Studios,"Adventure,",One-time game purchase,Singleplayer,Company:Kalypso Media,2009-02-27,2009-02-27,,1,1,ceville,23469,Cracked,GENESIS,STEAM,2009-02-19,2009-02-17,-2
_id,Battlenet DRM,EA Desktop DRM,EA Play,EA Play Pro,EA Play Steam,Epic Games Store DRM,Steam DRM,Ubisoft Plus,Available on,Developers,Genres,Monetization,Modes,Publishers,Released,Released Windows,Removed DRM,Released__precision,Released Windows__precision,name,appid,crack_status,crack_team,drm,release_date,crack_date,dates_dif
65ae3b9b8ba3c82532bb1290,,,,,,,Steam,,Windows,Company:Realmforge Studios,"Adventure,",One-time game purchase,Singleplayer,Company:Kalypso Media,2009-02-27,2009-02-27,,1,1,ceville,23460,Cracked,GENESIS,STEAM,2009-02-19,2009-02-17,-2
_id,Battlenet DRM,EA Desktop DRM,EA Play,EA Play Pro,EA Play Steam,Epic Games Store DRM,Steam DRM,Ubisoft Plus,Available on,Developers,Genres,Monetization,Modes,Publishers,Released,Released Windows,Removed DRM,Released__precision,Released Windows__precision,name,appid,crack_status,crack_team,drm,release_date,crack_date,dates_dif
65ae3b9b8ba3c82532bb1290,,,,,,,Steam,,Windows,Company:Realmforge Studios,"Adventure,",One-time game purchase,Singleplayer,Company:Kalypso Media,2009-02-27,2009-02-27,,1,1,ceville,23469,Cracked,GENESIS,STEAM,2009-02-19,2009-02-17,-2
